[2024-09-09 10:28:05] | [ERROR] | Main:45 --> Bot token is empty! Please insert token in configs/config.toml!
java.lang.NullPointerException: chatId is marked non-null but is null
	at kiinse.dev.telegram.complaint.Complaint$ComplaintBuilder.chatId(Complaint.java:6)
	at kiinse.dev.telegram.mongodb.queries.ComplaintQuery.documentToComplain(ComplaintQuery.java:60)
	at kiinse.dev.telegram.mongodb.queries.ComplaintQuery.getComplaints(ComplaintQuery.java:41)
	at kiinse.dev.telegram.manager.ComplaintManager.getComplaints(ComplaintManager.java:66)
	at kiinse.dev.telegram.commands.command.ViewComplaintAdminCommand.onCommand(ViewComplaintAdminCommand.java:54)
	at kiinse.dev.telegram.Bot.lambda$consume$0(Bot.java:81)
	at java.base/java.lang.Thread.run(Thread.java:1583)
[2024-09-09 13:26:51] | [INFO ] | MongoDB:33 --> Connecting to database...
[2024-09-09 13:26:51] | [INFO ] | cluster:71 --> Cluster created with settings {hosts=[mdb.kiinse.dev:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
[2024-09-09 13:26:51] | [INFO ] | cluster:71 --> Cluster description not yet available. Waiting for 30000 ms before timing out
[2024-09-09 13:26:51] | [INFO ] | connection:71 --> Opened connection [connectionId{localValue:1, serverValue:1927}] to mdb.kiinse.dev:27017
[2024-09-09 13:26:51] | [INFO ] | cluster:71 --> Monitor thread successfully connected to server with description ServerDescription{address=mdb.kiinse.dev:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[6, 0, 2]}, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=14914333}
[2024-09-09 13:26:51] | [INFO ] | connection:71 --> Opened connection [connectionId{localValue:2, serverValue:1928}] to mdb.kiinse.dev:27017
[2024-09-09 13:26:51] | [INFO ] | MongoDB:56 --> Database connected!
[2024-09-09 13:26:51] | [INFO ] | Main:43 --> Starting Telegram bot...
[2024-09-09 13:26:51] | [INFO ] | Main:44 --> Debug: true
[2024-09-09 13:26:51] | [INFO ] | Main:51 --> Registered command: StartCommand
[2024-09-09 13:26:51] | [INFO ] | Main:51 --> Registered command: ChatIdCommand
[2024-09-09 13:26:51] | [INFO ] | Main:51 --> Registered command: SendComplaintCommand
[2024-09-09 13:26:51] | [INFO ] | Main:51 --> Registered command: ViewComplaintCommand
[2024-09-09 13:26:51] | [INFO ] | Main:51 --> Registered command: ViewComplaintAdminCommand
[2024-09-09 13:26:51] | [INFO ] | Main:51 --> Registered command: RemoveComplaintCommand
[2024-09-09 13:26:52] | [INFO ] | BotSession:171 --> Result when calling deleteWebhook: true
[2024-09-09 13:26:52] | [INFO ] | Main:62 --> Telegram bot started!
[2024-09-09 13:27:07] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:27:07] | [INFO ] | ViewComplaintAdminCommand:41 --> Executing ViewComplaintAdminCommand to 327614944
[2024-09-09 13:27:07] | [ERROR] | ViewComplaintAdminCommand:59 --> Error on ViewComplaintAdminCommand command
java.lang.NullPointerException: chatId is marked non-null but is null
	at kiinse.dev.telegram.complaint.Complaint$ComplaintBuilder.chatId(Complaint.java:6)
	at kiinse.dev.telegram.mongodb.queries.ComplaintQuery.documentToComplain(ComplaintQuery.java:61)
	at kiinse.dev.telegram.mongodb.queries.ComplaintQuery.getComplaints(ComplaintQuery.java:41)
	at kiinse.dev.telegram.manager.ComplaintManager.getComplaints(ComplaintManager.java:66)
	at kiinse.dev.telegram.commands.command.ViewComplaintAdminCommand.onCommand(ViewComplaintAdminCommand.java:54)
	at kiinse.dev.telegram.Bot.lambda$consume$0(Bot.java:81)
	at java.base/java.lang.Thread.run(Thread.java:1583)
[2024-09-09 13:27:09] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:27:09] | [INFO ] | ViewComplaintAdminCommand:41 --> Executing ViewComplaintAdminCommand to 327614944
[2024-09-09 13:27:09] | [ERROR] | ViewComplaintAdminCommand:59 --> Error on ViewComplaintAdminCommand command
java.lang.NullPointerException: chatId is marked non-null but is null
	at kiinse.dev.telegram.complaint.Complaint$ComplaintBuilder.chatId(Complaint.java:6)
